City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
Egvekinot,66.3167,-179.1667,-2.39,83,100,5.64,RU,1664213277
Muravlenko,63.7898,74.523,-2.52,75,80,4.77,RU,1664213279
Mayumba,-3.432,10.6554,24.63,81,35,3.12,GA,1664213281
Ocós,14.5094,-92.1933,30.1,79,100,3.31,GT,1664213282
Dicabisagan,17.0818,122.4157,25.46,90,82,1.08,PH,1664213003
Caravelas,-17.7125,-39.2481,24.57,77,98,3.89,BR,1664213285
Campo Grande,-20.4428,-54.6464,24.75,57,40,6.17,BR,1664213157
Visby,57.6409,18.296,12.25,82,0,3.09,SE,1664213293
Aklavik,68.2191,-135.0107,1.26,85,100,3.27,CA,1664213295
Hamilton,32.2915,-64.778,27.22,78,75,5.14,BM,1664213296
Prince Albert,53.2001,-105.7677,17.97,45,20,4.63,CA,1664213298
Saint George,32.3817,-64.6781,27.08,78,75,5.14,BM,1664213300
Georgetown,-7.9333,-14.4167,25.36,65,20,6.17,SH,1664213301
Pokrovsk,61.4781,129.1272,-1.72,90,100,2.05,RU,1664213303
Zhangaözen,43.3,52.8,17.93,46,0,1.71,KZ,1664213305
Loughborough,52.7667,-1.2,13.99,66,20,5.14,GB,1664213306
Jamestown,-15.9387,-5.7168,16.66,77,56,7.61,SH,1664213308
Prince Rupert,54.3161,-130.3201,15.05,98,100,3.09,CA,1664213312
Walvis Bay,-22.9575,14.5053,18.53,52,0,7.72,NA,1664213313
Klaksvík,62.2266,-6.589,4.51,96,100,21.44,FO,1664213316
Bagru,26.8088,75.5423,26.19,58,23,1.14,IN,1664213318
Cidreira,-30.1811,-50.2056,21.97,65,82,1.68,BR,1664213319
Chateaubelair,13.2833,-61.25,28.29,74,40,3.6,VC,1664213321
Safi,32.2994,-9.2372,21.49,59,85,7.33,MA,1664213322
Pilar,14.66,120.5653,26.19,85,100,0.73,PH,1664213324
Hambantota,6.1241,81.1185,26.39,82,80,6.87,LK,1664213325
South River,45.8334,-79.3829,13.81,98,100,1.5,CA,1664213327
Krasnoye,52.8645,38.7935,8.51,79,74,2.01,RU,1664213328
Inhambane,-23.865,35.3833,23.8,86,0,7.77,MZ,1664213330
Sorong,-0.8833,131.25,26.78,82,95,2.85,ID,1664213331
Norsup,-16.0667,167.3833,25.82,84,15,4.11,VU,1664213333
Fes,34.0372,-4.9998,23.14,49,40,2.06,MA,1664213334
Maamba,-17.3667,27.15,25.83,24,9,1.38,ZM,1664213336
Chokurdakh,70.6333,147.9167,-4.52,94,70,4.76,RU,1664213338
Fort Portal,0.6617,30.2748,17.73,81,82,1.31,UG,1664213340
Port-Gentil,-0.7193,8.7815,24.98,88,75,6.69,GA,1664213341
Srandakan,-7.9386,110.2506,24.61,84,87,3.94,ID,1664213343
Saraland,30.8207,-88.0706,32.81,57,93,2.8,US,1664213346
Lavrentiya,65.5833,-171.0,3.57,95,100,5.18,RU,1664213347
Hienghène,-20.6833,164.9333,21.43,86,2,3.25,NC,1664213349
Polunochnoye,60.8697,60.4153,-2.85,78,10,2.04,RU,1664213350
Ambovombe,-25.1667,46.0833,24.3,61,0,2.44,MG,1664213354
La Libertad,13.4883,-89.3222,30.86,81,89,2.14,SV,1664213356
Noumea,-22.2763,166.4572,17.99,88,35,2.42,NC,1664213280
Dudinka,69.4058,86.1778,-3.54,81,100,8.25,RU,1664213360
Birjand,32.8663,59.2211,21.26,23,0,5.14,IR,1664213361
